text,label
 want put pay freaking credit card there something wrong bill like swear say didnt paid last month know paid last month,happy
 saw,neutral
 right good thing lovely air sweet,happy
 flight come,neutral
 yeah,happy
 good friend mine passed away day,happy
 file complaint already,neutral
 shes new york three half year sudden,neutral
 yeah guess accepted,happy
 um johnny died yesterday,sad
 um,neutral
 like eighteen laughter,happy
 saying,neutral
 sure um,neutral
 uh got good news,happy
 know sort went style didnt,happy
 knew nothing sort accepted present,happy
 yeah,happy
 shut vega,neutral
 nobody know except freda wouldnt ring,happy
 ive four hour dont know one piece luggage,neutral
 mean first one still bed,happy
 must,neutral
 hey got keep going,happy
 mean nobody know except freda wouldnt ring,happy
 babe dont know tell dont give,neutral
 breathing hot hoo,happy
 yeah ive thewith machine like thirty minute,happy
 hello god finally somebody look ridiculous ive waiting online like half hour,happy
 breathing,happy
 present trivial little broach,neutral
 bother,neutral
 um,neutral
 got get job know like,happy
 got bad news,neutral
 three year sudden,neutral
 let see,neutral
 first one still bed could seen,neutral
 saying,neutral
 im real person yes,happy
 way,neutral
 yeah,happy
 freda one know wouldnt ring,happy
 shes new york threeandahalf year dont suddenly come,sad
 ridiculous,neutral
 well let check coming,neutral
 serious,neutral
 saying,neutral
 look night got couldnt better,neutral
 okay filled form,happy
 ohim glad,neutral
 move back ghetto buti know,happy
 well shes away three half year new york suddenly show,neutral
 yes,neutral
 must,neutral
 didnt um didnt come dont see anywhere around,sad
 certainly slightly exaggerated scientific fact,neutral
 im sorry joy,happy
 saw,neutral
 yes yes gone around like know twenty time half hour,happy
 hey im uh im really sorry happened dont um mean mean,happy
 saw,neutral
 kathy died last night,neutral
 cant believe thatnoware sure absolutely necessary like,neutral
 must,neutral
 long ago,neutral
 could see first one still bed,neutral
 okay get um menu whatever like choose different thing depending,happy
 yeah,happy
 im mad,happy
 umseventeen coming,neutral
 whathow see mean first one still bed,happy
 two form id,neutral
 okay good thing know lovely air sweet,happy
 ridiculous,neutral
 yeah,happy
 knew nothing sort took present,happy
 dont know isnt thats like escort service thing like,happy
 thats helpful,neutral
 good,happy
 yeah kind went style didnt,happy
 said,neutral
 much younger,neutral
 right good thing,happy
 yeah called,happy
 saw,neutral
 bother,neutral
 hi ive phone hour trying get little discrepancy bill fixed charged two hundred dollar worth call didnt make,happy
 right good thing,happy
 finally,neutral
 know know im excited,happy
 first time ever hit,happy
 yes,neutral
 yeah,happy
 must,neutral
 demand sir,neutral
 present trivial little broach,neutral
 okay,happy
 saw,neutral
 dont know imaybe isnt know maybe isnt right business,happy
 um,neutral
 good god,happy
 bad good thing,happy
 said,neutral
 youre going leave,happy
 yeah yeah,happy
 mean,happy
 well going,happy
 guess got usc,neutral
 yeah im yeah,happy
 well maybe wanted see,neutral
 okay im coming atlanta,happy
 well maybe wanted see,neutral
 saw,neutral
 certainly slightly exaggerated scientific fact,neutral
 asked,neutral
 mmhmm,neutral
 shes new york three half year sudden,neutral
 three half year sudden,neutral
 ridiculous,neutral
 knew nothing sort accepted present,happy
 yeah old town part,happy
 well maybe maybe wanted see,neutral
 know lovely air sweet,happy
 ridiculous,neutral
 yes remember well bristling diamond worst possible taste,neutral
 uh got new car new house uh dog,neutral
 im sorry mr rosenkrantz uh dont know tell,happy
 hello,neutral
 going,happy
 waited entire baggage waited whole baggage carousel four time told go next one waited three plane im,happy
 would liked gone little coast get away light people afraid wed miss,happy
 uh like hour half ago talked somebody standing said wait sometimes like random butt piece come late,happy
 saw,neutral
 must,neutral
 oh god happened got otherwise wouldnt happy laughter,neutral
 youve lot work right,happy
 certainly slightly exaggerated scientific fact,neutral
 trivial little broach,neutral
 much sillier,neutral
 must,neutral
 yeah,happy
 would wanted go little coast get away light people afraid wed miss,happy
 airline,neutral
 well shes citizen want get visa,happy
 think ridiculous,neutral
 broke,neutral
 yeah,happy
 broke,neutral
 come,neutral
 oh god oh god im sorry,neutral
 oh come knew nothing,neutral
 ridiculous,neutral
 uhhuh,neutral
 oh god last weekend,sad
 ah,neutral
 yeah wow,happy
 um dont know,neutral
 well maybe maybe wanted see,neutral
 could see first one still bed,neutral
 go back,neutral
 whatre gon na,neutral
 form id,neutral
 ridiculous,neutral
 must,neutral
 shes new york three half year sudden,neutral
 yeah im coming baltimore know,happy
 knew nothing,happy
 well trying get job look job,happy
 good,happy
 well maybe maybe wanted see,neutral
 oh god going laughter,neutral
 laughter softball thats unbelievable slow pitch,happy
 oh got,sad
 well alright darling whatever happens arent,neutral
 gon na study,neutral
 pr someone sold bill good wonderful event going take place beach,happy
 right arent darling whatever happens,neutral
 right there nothing wrong know,happy
 dont look left hand,sad
 didnt hit hard,neutral
 could see first one still bed,neutral
 okay im sorry stood line hour way,happy
 guy yeah believe said yes yeah said yes,happy
 ii asked marry,neutral
 think,neutral
 front desk baggage claim,happy
 shut oh god really like asked question whathow ask,neutral
 could see first one still bed,neutral
 um got driver license though,neutral
 certainly slightly exaggerated scientific fact,neutral
 yep,neutral
 ah yes remember well bristling diamond worst possible taste,neutral
 know lovely air sweet,happy
 way whenwhen happen,neutral
 oh good good good good good good,neutral
 last first name jones,neutral
 garbage,neutral
 mean couldnt seen first one still bed,happy
 oh um,sad
 mmhmm,neutral
 oh bad thing good thing,happy
 must,neutral
 lost luggage airline,neutral
 im sorry,happy
 demand request take come,neutral
 know actually wanted go little coast get away people light uh thought wed miss hey,happy
 trying get answer one given answer going,happy
 okay well um f,happy
 must,neutral
 okay,happy
 oh theater yeah yeah,neutral
 pr somebody sold bill good wonderful event gon na take place beach,happy
 problem,neutral
 know lovely air sweet,happy
 okay whats problem,happy
 marry,neutral
 certainly slightly exaggerated scientific fact,neutral
 broke,neutral
 nobody come seven hundred mile see,neutral
 ill stay town,neutral
 alright good thing know,happy
 certainly slightly exaggerated scientific fact,neutral
 itsive trying find job cant get job,neutral
 youre pregnant anything,happy
 remember well covered diamond worst possible taste,neutral
 hello,neutral
 georgia,neutral
 fine,neutral
 virgin atlantic coming london,neutral
 certainly slightly exaggerated scientific fact,neutral
 nobody come seven hundred mile see,neutral
 could see first one still bed,neutral
 actually wanted go little farther coast get away light people afraid wed miss,happy
 well maybe maybe wanted see,neutral
 dont know there nothing cant get job havent gotten job year three year three year right havent able job,happy
 lovely air sweet,happy
 ive ive lady got line waited two hour um gave form,neutral
 present trivial little broach,neutral
 wonder,neutral
 oh knew nothing,neutral
 say,neutral
 softball theyre going pay go school isnt awesome,happy
 im going miss dont know im going without going lonely hard,happy
 actually wanted go little farther coast get away light people afraid miss,happy
 trivial little broach,neutral
 there regular job,neutral
 uh let need exactly,neutral
 oh im sorry happened,neutral
 well alright darling whatever happens arent,neutral
 well maybe maybe wanted see,neutral
 manager came found u rolling floor biting scratching like panther oh dear,neutral
 wow thats horrible,happy
 dontim justim thinking maybe move back home something dont dont know cant cant keep living way im living,happy
 right darling arent whatever happens,neutral
 dont think anymore really long time like im trying,happy
 yes georgia good need bag,happy
 chuck laughter,neutral
 oh,sad
 happened,neutral
 okay well letswell im going go ahead check youre coming fromwhere coming,happy
 going miss,happy
 look hair standing arm im giving goose bump,happy
 well yea know get resume mean,happy
 knew nothing sort took present,happy
 well yeah thats general idea laughter,happy
 run,neutral
 well maybe maybe wanted see,neutral
 four morning,neutral
 hey listeneh ive wanting talk something tell hows amy,happy
 couple day ago,neutral
 actually hoping go little bit coast get away light people afraid miss,happy
 right darling arent whatever happens,neutral
 pregnant talking,neutral
 really mfa program,neutral
 going,happy
 certainly slightly exaggerated scientific fact,neutral
 um,neutral
 mymy original birth certificate dont carry,sad
 actually im looking information flight trouble baggage look like people bag didnt make um,happy
 nobody know except freda wouldnt ring,happy
 knew nothing sort took present,happy
 four morning heard cracking woke looked standing right cracked,happy
 oh jesus,sad
 broke,neutral
 there really there nothing,happy
 well maybemaybe wanted see,neutral
 always sweet,neutral
 let see,neutral
 im sorry,happy
 nobody come seven hundred mile see,neutral
 four morning heard crack looked window standing right cracked,happy
 told get line,happy
 right darling arent whatever happens,neutral
 ive looking like eight month,happy
 nobody come seven hundred mile see,neutral
 okay,happy
 thanks,neutral
 right arent darling whatever happens,neutral
 whats going,happy
 right sir,happy
 pr somebody sold bill good magical thing would happening beach,happy
 yeah,happy
 breathing know lovely air sweet,happy
 however believe real cause row peter burden,neutral
 happen sooner later going,happy
 know know there nothing say really help,happy
 alright,happy
 youre sorry came,happy
 got usc,neutral
 shes citizen want visa yeah shes going pay fifty thousand dollar marry stay married two year,happy
 remember well covered diamond worst possible taste,neutral
 sir yes maryland okaywell imjust let check,happy
 oh gosh im proud,neutral
 always sweet,neutral
 youre sorry came,happy
 broke,neutral
 broke,neutral
 lead around circle cant way like get real person dont already know get,happy
 oh god finally gotyou know long ive waiting line put hold like five hour geez,happy
 usc,neutral
 fair,neutral
 mean there really nothing line line new id line registration,happy
 london okay um went proper checkpoint,happy
 im sorry maam help,neutral
 know im sorry itsits little frustrating,happy
 yes jones,neutral
 okay,happy
 four morning heard cracking woke looked standing right cracked,happy
 going live campus going live,happy
 quite like wear often,happy
 look night got wouldnt trade anything,happy
 pr mean somebody sold good bill wonderful event going happen beach,happy
 actually need two form id need either passport birth certificate social security card im sorry,happy
 wasnt pretty still wear often,neutral
 dont think like,neutral
 oh gosh,sad
 remember well bristling diamond worst possible taste,neutral
 know really crappy timing dont choice,happy
 there need raise voice sir,neutral
 put ive typing number million time wont listen working cant get single human finally,happy
 shewell said yes first let say right bat well would like assume never know thing right,happy
 well uh grew next door girl wouldnt want see,neutral
 ii dont know place told go look told come talk guy lost bag late soon lost completely going,happy
 whats wrong,neutral
 reallythis unfair,neutral
 dont travel seven hundred mile see,sad
 mean lived next door girl life wouldnt want see,happy
 yes,neutral
 there nothing mean government know,happy
 always sweet,neutral
 nobody travel seven hundred mile see,neutral
 pr somebody sold bill good wonderful event going take place beach,happy
 dont care,sad
 like nobody nobody want hire year mean understand year like im know mean like ive collecting unemployment long like cant take dont know mean im like losing mind,happy
 anything get want take care anything,happy
 hey,happy
 nobody come seven hundred mile see,neutral
 look,neutral
 always sweet,neutral
 always sweet,neutral
 pr somebody sold bill good wonderful event going take place beach,happy
 dont know mean ive looking long figured mean think thing like monster lot reliable random free board,happy
 present trivial little broach,neutral
 broke,neutral
 laughter,neutral
 mean lived next door girl life wouldnt want see,happy
 right,happy
 yeah mean know,happy
 knew nothing sort took present,happy
 thats awesome congratulation,happy
 oh usc oh gosh thats awesome top choice right,happy
 way serious oh god congratulation im excited,happy
 okay um well unfortunately yeah problem,happy
 mean filled form rushed get id,happy
 yes sir im sorry weve trouble there lot call system,happy
 must see take,neutral
 dont care,sad
 im fine,happy
 oh gosh,sad
 im going usc yeah,happy
 im sorry lot ahh explain ahh got call,happy
 um four morning uh heard crack looked saw standing,neutral
 oh way,sad
 nobody come seven hundred mile see,neutral
 broke,neutral
 wasnt pretty still wear often,neutral
 uhhmm,neutral
 lost luggage didnt lose like left somewhere somebody took,happy
 mmm hmm never knew going hard know,happy
 kind feel numb know,happy
 cant think way mean goodits good yourethat youre calling know cant,happy
 hanging,neutral
 always sweet,neutral
 happened,neutral
 could see first one still bed,neutral
 got letter go back,neutral
 sorry im staying,happy
 fair,neutral
 uh dont know,neutral
 youre sorry came,happy
 youre sorry came,happy
 mean lived next door girl life wouldnt want see dont look like didnt tell told,happy
 thats strange figured filled wrong section,happy
 oh oh didnt,sad
 dont know like four oclock morning heard crack woke looked window standing right broke,happy
 youre sorry came,happy
 wait,neutral
 oh need marry,sad
 im really excited yeah dont know im going pay anything also yeah loan yeah applied though bunch grant scholarship im still waiting hear,happy
 okay good assumed,happy
 really lovely air sweet,happy
 big bad acceptance packet information im going usc,happy
 well filled form ive given everyone keep sending someone else,neutral
 oh,sad
 know youve trying baby right,happy
 breathing,happy
 waited nothing came,happy
 yeah know,happy
 way,neutral
 well must,neutral
 pr somebody sold bill good wonderful event going occur beach,happy
 look phone isnt working dont understand whats going trying call im receiving call,happy
 know really tough really hard find job,happy
 youre fine,happy
 im going stay,happy
 friend shotty passed away,neutral
 present small trivial little broach,neutral
 actually said yes cant believe never thought would get married,neutral
 serious youre getting married,happy
 um basically um ordered food,neutral
 sad face,sad
 ii still wear quite often,neutral
 thats foam dont know cant tell,neutral
 see people getting commercial work like im getting anything,happy
 dont care,sad
 fine,neutral
 bound happen sooner later,neutral
 fine,neutral
 youre sorry came,happy
 propose,neutral
 bound come sooner later,neutral
 baltimore,happy
 didnt fill right right say fill back sheet filled yellow sheet,happy
 okay right darling whatever happens okay,happy
 well im one look people,happy
 dont care,sad
 mean brought next door girl whole life shouldnt want see,happy
 yeah,happy
 four morning heard cracking woke looked standing right cracked,happy
 lovely,happy
 yeah im excited im gon na say,happy
 right well still need,happy
 dont care,sad
 oh way,sad
 fine,neutral
 mean dont know tell two luggage ive comingtheyre comingfrom france need im home need go start working,happy
 ohyeah bet youre really excited oh thats loan right exactly,happy
 dont care,sad
 mmm hmm remember well bristling diamond worst possible taste,neutral
 im sorry hear,happy
 know nice air sweet,happy
 heard tough get,happy
 completely understand automated system difficult sometimes,happy
 yeah well dontwell yeah pitch im like pitcher though im like pinch hitter guy mostly hit guess im going yeah play shortstop ex good news get stay,happy
 exactly wanted,neutral
 baltimore direct flight lax,happy
 go place every place thatll give interview know,happy
 yeah yeah proposed yesterday getting engaged going going get married eight month,happy
 thought lost luggage,neutral
 yeah,happy
 talking grew next girl whole life wouldnt want see dont look like hasnt told anything didnt told,happy
 thats wind,happy
 uh stay like travel school close,happy
 uhuh mean grew next entire life shouldnt want see,happy
 sorry um im im gon na stay,happy
 look whats whats,neutral
 went way torture peter burden,neutral
 fine,neutral
 four morning heard cracking woke looked standing right cracked,happy
 knew coming,neutral
 yes always sweet,neutral
 yes know laughter,happy
 mean lived next door entire life shouldnt want see hey dont look like dont know anymore,happy
 well im one look people,happy
 nobody come seven hundred mile see,neutral
 oh pretty progressive cancer,sad
 oh look,sad
 standing beginning directed,neutral
 pretty still wear often,neutral
 bound come sooner later,neutral
 really,neutral
 yeah,happy
 mean,happy
 going,happy
 thatnois foam cant even tell,sad
 yes finally proposed im getting married,happy
 pr mean somebody giving good bill wonderful event thats going happen beach,happy
 sorry um im gon na stay,happy
 shall never forget face,happy
 uh um,neutral
 thatthats foam isnt cant even tell,neutral
 went way torture peter burden,neutral
 um yes romantic,neutral
 eight hundred pound luggage,neutral
 dont understand youve already done much dont know go back,neutral
 yeah yeah,happy
 right wrong form somebody gave wrong form,happy
 pr somebody sold bunch crap wonderful thing going happen tonight beach,happy
 okay great im really sorry whats last name let start,happy
 gon na go gon na,neutral
 im going stay,happy
 foam cant even tell,sad
 bound come sooner later,neutral
 bound happen sooner later,neutral
 mean grew next door girl life shouldnt want shouldnt want see,happy
 oh knew nothing,neutral
 around four morning crack looked standing right cracked,happy
 know dont know weird somebody who know,neutral
 hello hello wrong number,neutral
 know,happy
 okay arent darling,happy
 ive college educated,neutral
 cant,sad
 sorry im going stay,happy
 present trivial little brooch,neutral
 hello hello wrong number,neutral
 bound come sooner later,neutral
 um okay well fly file claim coming,happy
 yeah oh,neutral
 oh course didnt know tough im happy made,happy
 right yes know isit little frustrating,happy
 got,neutral
 proposed proposed well said yes course laughter,neutral
 oh gosh thats cool,neutral
 yea sure everyone sold story mean keep u excited keep u coming back keep u thinking life going start second get action find right spot,happy
 really long,neutral
 told meim sorry told line,happy
 foam cant even tell although cant tell probably isnt itll probably unmistakable dont think,sad
 well,neutral
 yeah think mean else would gon na go like place applied really didnt like much anyway,happy
 fine,neutral
 im one look people,happy
 sure everybodys told story keep u excited keep u coming back keep u thinking life gon na start second could find right spot get action,happy
 thats amazing wow,happy
 mean ive looking job like three year cant get job mean like america right able get job,happy
 went way torture peter burden,neutral
 didnt even,neutral
 yes,neutral
 four morning heard crack looked standing right happened,happy
 went way torture peter burden,neutral
 remember well bristling diamond worst possible taste,neutral
 there nothing,happy
 oh gosh well,sad
 whats happened,neutral
 right,happy
 fuck think day jesus,neutral
 thanks,neutral
 know actually wanted go little coast get away light people afraid youd miss,happy
 well driver license work,neutral
 ridiculous utterly utterly ridiculous,neutral
 whatswhat applying,neutral
 gave earlier said oh gave wrong one accident hoping could fill new one give sort skip whole line business,sad
 okay didnt tell get line filling particular form,happy
 well think,neutral
 okay chuck e cheese,happy
 dont want single mom,sad
 fine right arent whatever happens darling,neutral
 youre going pick leave baby miss year life,happy
 four morning heard crack looked window standing right,happy
 hello hello wrong number,neutral
 holy shit thats amazing,happy
 always sweet,neutral
 know go,happy
 uh huh,neutral
 okay let look,happy
 hello hello wrong number,neutral
 well dont want dont want live mom,sad
 im tired excuse youre qualified enough wish education,happy
 fine,neutral
 know neither,happy
 guess saw coming lasted lot lot longer uh expected know mean actually happens lot harder,happy
 okay sir youif give one moment let check okay,happy
 im sorry maam whats nature problem first get tell first last name,happy
 youre sorry came,happy
 yeah dont know lost coming africa,happy
 hello hello wrong number,neutral
 whatwhatre gon na canti cant,sad
 im one look people,happy
 didnt worked whole thing jealous imagination,happy
 know laughter,happy
 dont care,sad
 oh man wasokay went go see show broadway right wed wed lousy chaperone seen one,happy
 always sweet,neutral
 hello hello wrong number,neutral
 dont look like didnt tell anymore told,neutral
 uh sorry forgot mean ive got,happy
 dont look like didnt tell told,neutral
 yeah,happy
 four morning,neutral
 got cinema production,neutral
 something like cant even remember anymore dont know anymore get everyday well everyday almost everyday,happy
 better news,neutral
 sir completely filled wrong,neutral
 sure everybody told thing keep u excited keep u coming back keep u thinking life gon na start minute find right spot get action,happy
 yeah iti mean response get like,happy
 fine,neutral
 yeah um everythings fine far um,happy
 thatno foam cant even tell although cant tell probably isnt right itll probably unmistakable dont think,sad
 lost waited conveyor near conveyor belt see know baggage claim see would would come,happy
 need sooner thought,neutral
 im nervous know im,happy
 four clock morning heard crack woke looked standing right cracked,happy
 oh thatis thatnow foam uhh cant even tell,sad
 know applied usc,happy
 sir please calm there reason use profanity like,happy
 garbage didnt worked whole thing jealous imagination,happy
 right fact best,happy
 didnt tell two young child home,neutral
 real human thank much,neutral
 um great really great think really surprised really happy um,happy
 speak language,neutral
 air sweet,neutral
 pick anything,happy
 didnt worked whole thing jealous imagination,happy
 chuck e cheese ah man lame,neutral
 god ii got big packet know mail like,happy
 im one look people,happy
 one look people,neutral
 okay,happy
 need new license youre telling,happy
 four morning,neutral
 went way torture peter burden,neutral
 ive yeah applied usc mean really expensive,happy
 four morning,neutral
 nash,neutral
 oh gosh,sad
 sure didnt make,neutral
 oh im sorry,neutral
 weird cause like expected happen eventually,happy
 wrong form,neutral
 first place mother much told go,neutral
 well guess youre trying hard enough,happy
 knew nothing sort took present,happy
 seemed like little bit longer like last week well,happy
 whats wait foam cant even tell oh actually guess cant tell probably isnt probably unmistakable dont think,sad
 slot machine,neutral
 check lost found,neutral
 um everything pretty much uh uh done right order messed,happy
 bristling diamond worst possible taste,neutral
 great look radiant shouldve guess,neutral
 mean know lived next door girl whole life wouldnt want see,happy
 uh one told needed original birth certificate,neutral
 didnt even hear,neutral
 dont see breathing,neutral
 shes fine took first step today actually videotaped watch,neutral
 know im,happy
 know theyve looked,happy
 breathing,happy
 ahh sent shiver spine,neutral
 im one look people,happy
 yeah everyone else sold thing mean look keep u excited keep u coming back know keep u thinking life going start minute,happy
 im applying another id,happy
 well course going move back home going able find job,happy
 yeah cant cant anything,happy
 okay,happy
 thats incredible thats awesome wheres maybe get dual citizenship,happy
 um may help youre trying book specific flight,neutral
 youre sorry came,happy
 right thought would way older thought would least thirty something,happy
 bound come sooner later,neutral
 coming um midwest like iowa,happy
 insinuating dont college education reason make better person,sad
